trade_id,traded_at,instrument,side,quantity,price,gross_amount,state
T-1001,2025-07-01T09:15:00Z,BTC-USD,BUY,0.50,62000.00,31000.00,SETTLED
T-1002,2025-07-01T11:00:00Z,BTC-USD,SELL,0.10,63500.00,6350.00,SETTLED
T-1003,2025-07-01T12:30:05Z,ETH-USD,BUY,2.00,3450.00,6900.00,SETTLED
T-1004,2025-07-02T09:00:00Z,BTC-USD,BUY,1.00,64000.00,64000.00,SETTLED
T-1005,2025-07-02T10:00:00Z,ETH-USD,SELL,5.00,3500.00,17500.00,SETTLED
T-1006,2025-07-02T14:00:00Z,SOL-USD,BUY,50.00,150.00,7500.00,SETTLED
T-1007,2025-07-03T09:00:00Z,SOL-USD,SELL,20.00,148.00,2960.00,CANCELLED
T-1008,2025-07-03T10:00:00Z,BTC-USD,BUY,0.05,64500.00,3225.00,SETTLED
T-1009,2025-07-04T09:00:00Z,ETH-USD,BUY,1.00,3400.00,3400.00,SETTLED
T-1010,2025-07-04T10:00:00Z,BTC-USD,SELL,0.02,64000.00,1280.00,SETTLED
